sdg,label,indicator,year
SDG 1,No Poverty,Head count ratio as per the Multidimensional Poverty Index (%),2023–24
SDG 1,No Poverty,Percentage of households with any usual member covered by a health scheme or health insurance,2023–24
SDG 1,No Poverty,Persons offered employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),2023–24
SDG 1,No Poverty,Percentage of the population (out of total eligible population) receiving social protection benefits under Pradhan Mantri Matru Vandana Yojana (PMMVY),2023–24
SDG 1,No Poverty,Percentage of households living in Kachha houses,2023–24
SDG 2,Zero Hunger,"Percentage of beneficiaries covered under National Food Security Act (NFSA), 2013",2023–24
SDG 2,Zero Hunger,Percentage of children under five years who are underweight,2023–24
SDG 2,Zero Hunger,Percentage of children under five years who are stunted,2023–24
SDG 2,Zero Hunger,Percentage of pregnant women aged 15-49 years who are anaemic,2023–24
SDG 2,Zero Hunger,Percentage of women (aged 15-49 years) whose Body Mass Index is below 18.5,2023–24
SDG 2,Zero Hunger,Rice and Wheat produced per unit area (three-year average) (Kg/Ha),2023–24
SDG 2,Zero Hunger,Gross Value Added (constant prices) in agriculture per worker (in Lakhs/worker),2023–24
SDG 3,Good Health and Well-being,"Maternal Mortality Ratio (per 1,00,000 live births)",2023–24
SDG 3,Good Health and Well-being,"Under-five Mortality Rate (per 1,000 live births)",2023–24
SDG 3,Good Health and Well-being,Percentage of children in the age group 9-11 months fully immunized,2023–24
SDG 3,Good Health and Well-being,Tuberculosis case notification against target in percentage,2023–24
SDG 3,Good Health and Well-being,"HIV incidence per 1,000 uninfected population",2023–24
SDG 3,Good Health and Well-being,Life expectancy,2023–24
SDG 3,Good Health and Well-being,"Suicide rate (per 1,00,000 population)",2023–24
SDG 3,Good Health and Well-being,"Death rate due to road traffic accidents (per 1,00,000 population)",2023–24
SDG 3,Good Health and Well-being,Percentage of institutional deliveries out of the total deliveries reported,2023–24
SDG 3,Good Health and Well-being,Monthly per capita out-of-pocket expenditure on health as a share of Monthly Per capita Consumption Expenditure (MPCE),2023–24
SDG 3,Good Health and Well-being,"Health worker density per 10,000 population",2023–24
SDG 4,Quality Education,Adjusted Net Enrolment Rate (ANER) in elementary education (class 1-8) (%),2023–24
SDG 4,Quality Education,Average annual dropout rate at secondary level (class 9-10),2023–24
SDG 4,Quality Education,Gross Enrolment Ratio (GER) in higher secondary (class 11-12) (%),2023–24
SDG 4,Quality Education,Percentage of students in grade VIII achieving at least a minimum proficiency level in terms of nationally defined learning outcomes to be attained by the pupils at the end of the grade,2023–24
SDG 4,Quality Education,Gross Enrolment Ratio (GER) in higher education (18-23 years),2023–24
SDG 4,Quality Education,Percentage of persons with disability (15 years and above) who have completed at least secondary education,2023–24
SDG 4,Quality Education,Gender Parity Index (GPI) for higher education (18-23 years),2023–24
SDG 4,Quality Education,Percentage of persons 15 years and above who are literate,2023–24
SDG 4,Quality Education,"Percentage of schools with access to basic infrastructure (electricity, and drinking water-both)",2023–24
SDG 4,Quality Education,Percentage of Schools with computers,2023–24
SDG 4,Quality Education,Percentage of trained teachers at secondary level (class 9-10),2023–24
SDG 4,Quality Education,Pupil Teacher Ratio (PTR) at secondary level (class 9-10),2023–24
SDG 5,Gender Equality,Sex ratio at birth,2023–24
SDG 5,Gender Equality,Ratio of female to male average wage/salary earnings received among regular wage/salaried employees,2023–24
SDG 5,Gender Equality,Percentage of ever married women aged 18-49 years who have ever experienced spousal violence (physical/sexual),2023–24
SDG 5,Gender Equality,Ratio of female to male Labour Force Participation Rate (LFPR) (15-59 years),2023–24
SDG 5,Gender Equality,"Proportion of women in managerial positions including women in board of directors, in listed companies (per 1,000 persons)",2023–24
