STATEs/UTs,year,yearFormatted,Murders per 1 lakh population,Cognizable crimes against children per 1 lakh population,Estimated number of courts per 10 Lakh persons,Estimated reported corruption crimes per 1 crore population,Percentage of births registered,Percentage of population covered under Aadhaar,"Proportion of population subjected to physical, psychological or sexual violence in the previous 12 months","Number of victims of human trafficking per 100,000 population, by sex, age and form of exploitation","Cases Reported under Prevention of Corruption Act & Related Sections of IPC per 100,000 population",Number of victims of human trafficking per 10 lakh population,"Number of missing children per 1,00,000 child population","No. of courts per 1,00,000 population",Cases  under Prevention of Corruption Act and related sections of IPC per 10 lakh population,Cases under Prevention of Corruption Act and related sections of IPC per 10 lakh population,Charge sheeting rate of IPC crime,Percentage of children under 5 years whose birth was registered
Andaman and Nicobar Islands,2019,2019,1.578947368421053,87.5,28.04986470607981,,75.54767047207652,90.82625714863042,20.0,0.0,1.228070175438597,,,,,,,
Andaman and Nicobar Islands,2018,2018,2.5,61.4,28.05,0.3,79.3,95.0,,,,,,,,,,
Andaman and Nicobar Islands,2023–24,2024,1.7,130.0,,,,96.5,,,,0.0,33.63636364,0.0,,12.43781095,83.9,97.4
Andaman and Nicobar Islands,2020–21,2021,3.3,112.5,,,,,,,,0.0,30.71428571428572,0.0,7.5,,,
Andhra Pradesh,2020–21,2021,1.7,16.1,,,,,,,,7.626146788990825,17.52393107849394,1.21177370030581,2.35091743119266,,,
Andhra Pradesh,2023–24,2024,1.7,21.9,,,,99.0,,,,5.524861878,26.77696889,1.229746728,,1.508494711,86.5,92.2
Andhra Pradesh,2019,2019,2.021868405908307,15.3,31.39664345730177,,95.66635590175446,90.78305771583555,15.89871475158258,0.6502973335891042,0.3817379627853444,,,,,,,
Andhra Pradesh,2018,2018,2.2,11.8,31.4,18.11,98.4,92.5,,,,,,,,,,
Arunachal Pradesh,2019,2019,5.93984962406015,29.5,,,192.5451625853071,78.86246945975402,48.04511278195488,0.0,0.8270676691729323,,,,,,,
Arunachal Pradesh,2018,2018,3.5,28.3,,87.8,100.0,76.9,,,,,,,,,,
Arunachal Pradesh,2020–21,2021,4.0,32.7,,,,,,,,2.649006622516556,9.361702127659576,2.71523178807947,8.609271523178808,,,
Arunachal Pradesh,2023–24,2024,3.6,24.3,,,,79.71,,,,2.578981302,2.372881356,2.804333971,,7.736943907,47.2,87.7
Assam,2020–21,2021,3.6,55.6,,,,,,,,7.205113306217315,11.85870479394449,1.350958744915747,0.5229517722254504,,,
Assam,2023–24,2024,3.0,33.8,,,,89.92,,,,6.452521837,9.917218543,1.434220786,,1.606086221,32.6,96.3
Assam,2019,2019,3.474035833586395,41.6,8.130142192552773,,103.8947774928174,14.57329954051539,78.57576677801397,0.9535378074703916,0.0819921044640145,,,,,,,
Assam,2018,2018,3.5,33.3,8.13,6.65,100.0,7.9,,,,,,,,,,
