STATEs/UTs,year,yearFormatted,Sex ratio at birth,Ratio of female to male average wage/salary earnings received among regular wage/salaried employees,Percentage of ever married women aged 18-49 years who have ever experienced spousal violence (physical/sexual),Percentage of seats won by women in the general elections to state legislative assembly,Ratio of female to male Labour Force Participation Rate (LFPR) (15-59 years),Percentage of currently married women aged 15-49 years who have their demand for  family planning satisfied by any modern method,"Rate of crimes against women per 1,00,000 female population",Proportion of sexual crime against girl children to total crime against children during the calendar year,Female labour force participation rate (LFPR),Operational land holding gender wise (percentage of female operated operational holdings),Per lakh women who have experienced cruelty/physical violence by husband or his relatives during the year,"Proportion of women in managerial positions including women in board of directors, in listed companies (per 1,000 persons)",Percentage of currently married women aged 15-49 years who have their demand for family planning satisfied by any modern method,Percentage of female operated operational land holdings,Percentage of women (aged 15-49 years) who own a mobile phone that they themselves use,Percentage of currently married women (aged 15-49 years) who usually participate in three household decisions
Andaman and Nicobar Islands,2019,2019,,0.9220557045758112,19.6,,,,47.7,100.78125,25.4,0.0027496322366883,,,48.0,,,
Andaman and Nicobar Islands,2018,2018,,1.0,19.6,,0.41,50.8,,,,,,,,,,
Andaman and Nicobar Islands,2023-24,2024,914.0,0.59,17.2,,0.6,,,,,,,,72.8,29.8,80.8,94.5
Andaman and Nicobar Islands,2020-21,2021,,0.95,,,0.39,73.0,72.2,,,29.79755730299481,0.5263157894736842,,,,,
Andhra Pradesh,2020-21,2021,920.0,0.71,,8.0,0.55,93.6,67.9,,,30.08643920454345,30.42081101759755,208.0,,,,
Andhra Pradesh,2023-24,2024,934.0,0.72,29.9,,0.62,,,,,,,182.36,93.5,30.09,48.9,84.0
Andhra Pradesh,2019,2019,916.0,0.6789839573017972,45.2,8.0,,,68.9,63.08256880733944,34.4,1.7632016717764,,,69.4,,,
Andhra Pradesh,2018,2018,913.0,0.73,45.2,9.14,0.6,69.5,,,,,,,,,,
Arunachal Pradesh,2019,2019,,0.7176862477112126,34.8,3.33,,,53.4,55.48780487804878,10.7,0.0096237128284092,,,26.6,,,
Arunachal Pradesh,2018,2018,,0.8,34.8,3.33,0.53,31.7,,,,,,,,,,
Arunachal Pradesh,2020-21,2021,,0.56,,5.0,0.26,50.0,43.3,,,12.07296936946483,7.397260273972603,,,,,
Arunachal Pradesh,2023-24,2024,979.0,0.65,24.9,,0.76,,,,,,,,65.9,12.07,76.4,87.0
Assam,2020-21,2021,925.0,0.53,,6.349206349206349,0.17,55.6,177.8,,,1.668045975669938,70.72824156305506,221.0,,,,
Assam,2023-24,2024,964.0,0.64,32.2,,0.22,,,,,,,215.05,63.2,1.67,57.2,92.1
Assam,2019,2019,915.0,0.7419612524049626,26.6,6.35,,,143.6,43.04061089899341,9.8,0.0316207707219159,,,37.0,,,
Assam,2018,2018,896.0,0.72,26.6,6.35,0.27,52.4,,,,,,,,,,
Bihar,2018,2018,908.0,0.65,45.2,11.52,0.18,24.1,,,,,,,,,,
Bihar,2019,2019,900.0,0.8213445178069396,45.2,11.52,,,28.8,47.81984568455051,2.8,1.578976311918281,,,23.2,,,
Bihar,2023-24,2024,908.0,0.85,40.1,,0.31,,,,,,,266.67,64.0,14.0,51.4,86.5
Bihar,2020-21,2021,895.0,0.75,,11.52263374485597,0.06,51.4,32.3,,,13.99611269018813,4.583477959041999,214.0,,,,
Chandigarh,2023-24,2024,838.0,0.7,9.7,,0.31,,,,,,,204.42,65.9,10.83,70.0,94.6
Chandigarh,2019,2019,,0.8148063352136479,22.5,,,,59.8,25.66666666666666,19.1,0.0,,,58.2,,,
Chandigarh,2020-21,2021,,0.96,,,0.35,72.5,95.2,,,10.82887700534759,32.77777777777778,274.0,,,,
Chandigarh,2018,2018,,0.88,22.5,,0.13,74.0,,,,,,,,,,
Chhattisgarh,2023-24,2024,960.0,0.64,20.1,,0.74,,,,,,,182.93,81.1,13.79,40.7,92.7
Chhattisgarh,2019,2019,961.0,0.6563526550415466,38.1,14.44,,,61.1,76.1470588235294,36.5,0.3753248003079588,,,54.5,,,
Chhattisgarh,2018,2018,963.0,0.66,38.1,11.11,0.67,57.7,,,,,,,,,,
Chhattisgarh,2020-21,2021,958.0,0.64,,14.44444444444444,0.64,79.3,53.5,,,13.79135986787581,5.090403337969401,250.0,,,,
Dadra and Nagar Haveli,2019,2019,,0.748847559000931,36.3,,,,9.9,75.0,26.4,0.0020622241775162,,,37.9,,,
Dadra and Nagar Haveli,2018,2018,,1.01,36.3,,0.25,38.1,,,,,,,,,,
