STATEs/UTs,year,yearFormatted,Population living below National Poverty line (%),Percentage of households with any usual member covered by a health scheme or health insurance,Persons offered employment as a percentage of persons who demanded employment under Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Percentage of the population (out of total eligible population) receiving social protection benefits under Pradhan Mantri Matru Vandana Yojana (PMMVY),"Number of homeless households per 10,000 households",Percentage of households living in katcha houses (rural + urban),Head count ratio as per the Multidimensional Poverty Index (%),Percentage of households living in katcha houses,Percentage of households living in Kachha houses
Andaman and Nicobar Islands,2019,2019,1.0,5.7,84.8208937342758,1.4,,0.0,,,
Andaman and Nicobar Islands,2018,2018,1.0,5.7,92.46,1.4,0.97,,,,
Andaman and Nicobar Islands,2023–24,2024,,1.8,98.99,41.15,,,2.3,,
Andaman and Nicobar Islands,2020–21,2021,1.0,5.7,82.96189791516895,96.73,,,6.9,0.0,
Andhra Pradesh,2020–21,2021,9.2,74.6,83.80865125986605,96.4,,,15.6,3.2,
Andhra Pradesh,2023–24,2024,,80.2,99.94,54.04,,,6.06,,1.6
Andhra Pradesh,2019,2019,9.2,74.6,91.27915683307052,17.4,,3.2,,,
Andhra Pradesh,2018,2018,9.2,74.6,87.77,17.4,15.34,,,,
Arunachal Pradesh,2019,2019,34.67,58.3,93.39377095464972,20.5,,29.0,,,
Arunachal Pradesh,2018,2018,34.67,58.3,85.56,20.5,0.23,,,,
Arunachal Pradesh,2020–21,2021,34.67,58.3,95.43586212652312,92.76,,,24.4,29.0,
Arunachal Pradesh,2023–24,2024,,29.3,99.87,23.51,,,13.76,,28.6
Assam,2020–21,2021,31.98,10.4,86.10938705555978,95.32,,,36.2,2.4,
Assam,2023–24,2024,,66.7,99.92,53.43,,,19.35,,2.9
Assam,2019,2019,31.98,10.4,87.299054499097,66.10000000000001,,2.4,,,
Assam,2018,2018,31.98,10.4,87.1,66.1,3.42,,,,
Bihar,2018,2018,33.74,12.3,75.63,53.9,3.13,,,,
Bihar,2019,2019,33.74,12.3,77.25326885268954,53.90000000000001,,8.2,,,
Bihar,2023–24,2024,,17.4,99.9,20.9,,,33.76,,11.3
Bihar,2020–21,2021,33.74,12.3,78.59992052740535,87.97,,,52.5,8.2,
Chandigarh,2023–24,2024,,32.2,,79.3,,,3.52,,
Chandigarh,2019,2019,21.81,21.3,,13.7,,0.0,,,
Chandigarh,2020–21,2021,21.81,21.3,,96.22,,,4.8,0.0,
Chandigarh,2018,2018,21.81,21.3,,13.7,19.7,,,,
Chhattisgarh,2023–24,2024,,71.4,99.98,37.6,,,16.37,,11.7
Chhattisgarh,2019,2019,39.93,68.5,79.91320969682512,66.2,,2.1,,,
Chhattisgarh,2018,2018,39.93,68.5,77.25,66.2,15.77,,,,
Chhattisgarh,2020–21,2021,39.93,68.5,77.08559332369937,94.98,,,36.8,2.1,
Dadra and Nagar Haveli,2019,2019,39.31,30.8,,2.6,,0.1,,,
Dadra and Nagar Haveli,2018,2018,39.31,30.8,,2.6,24.94,,,,
Dadra and Nagar Haveli,2020–21,2021,39.31,30.8,,94.94,,,34.1,0.1,
Dadra and Nagar Haveli and Daman and Diu,2023–24,2024,,56.6,99.74,101.1,,,9.21,,
Daman and Diu,2019,2019,9.86,17.0,,19.3,,0.1,,,
Daman and Diu,2018,2018,9.86,17.0,,19.3,0.67,,,,
Daman and Diu,2020–21,2021,9.86,17.0,,90.21,,,6.0,0.1,
Delhi,2019,2019,9.91,15.7,,7.9,,0.8,,,
Delhi,2020–21,2021,9.91,15.7,,96.5,,,4.3,0.8,
Delhi,2018,2018,9.91,16.4,,7.9,54.52,,,,
Delhi,2023–24,2024,,25.0,,46.85,,,3.43,,0.3
Goa,2018,2018,5.09,15.9,98.15,7.4,1.62,,,,
Goa,2023–24,2024,,73.1,99.69,23.27,,,0.84,,0.4
Goa,2019,2019,5.09,15.9,87.22764838467317,7.399999999999999,,0.4,,,
Goa,2020–21,2021,5.09,15.9,97.38598442714128,93.96,,,5.5,0.4,
Gujarat,2020–21,2021,16.63,23.1,83.62577745494167,92.83,,,21.7,2.0,
Gujarat,2018,2018,16.63,23.1,80.92,8.9,14.06,,,,
Gujarat,2023–24,2024,,44.4,99.74,39.22,,,11.66,,1.7
Gujarat,2019,2019,16.63,23.1,82.99455644609787,8.9,,2.0,,,
Haryana,2020–21,2021,11.16,12.2,79.12016257865395,97.24,,,10.9,0.2,
Haryana,2023–24,2024,,25.7,99.81,13.47,,,7.07,,0.9
Haryana,2018,2018,11.16,12.2,80.16,13.5,14.52,,,,
Haryana,2019,2019,11.16,12.2,79.0447239996711,13.5,,0.2,,,
Himachal Pradesh,2019,2019,8.06,25.7,91.59607920728013,13.1,,0.2,,,
Himachal Pradesh,2018,2018,8.06,25.8,91.12,13.1,9.37,,,,
Himachal Pradesh,2020–21,2021,8.06,25.7,90.29906641044651,95.86,,,8.1,0.2,
Himachal Pradesh,2023–24,2024,,38.9,99.96,21.81,,,4.93,,1.6
India,2023–24,2024,,41.0,99.74,46.29,,,14.96,,4.6
India,2019,2019,21.92,28.7,85.26,36.4,,4.2,,,
India,2020–21,2021,21.92,28.7,84.44290811496312,91.38,,,27.9,4.2,
India,2018,2018,21.92,28.7,84.75,36.4,10.39,,,,
Jammu and Kashmir,2019,2019,10.35,4.2,87.51835236179583,54.0,,4.3,,,
Jammu and Kashmir,2020–21,2021,10.35,4.2,84.3185839089708,96.69,,,15.2,4.3,
Jammu and Kashmir,2023–24,2024,,13.8,99.67,18.45,,,4.8,,3.0
Jammu and Kashmir,2018,2018,10.35,4.2,88.79,54.0,12.33,,,,
Jharkhand,2019,2019,36.96,13.3,75.38375187326253,41.6,,6.6,,,
Jharkhand,2018,2018,36.96,13.3,70.34,41.6,4.38,,,,
Jharkhand,2023–24,2024,,50.3,99.96,41.83,,,28.81,,9.8
Jharkhand,2020–21,2021,36.96,13.3,80.62341044876443,89.69,,,46.5,6.6,
Karnataka,2023–24,2024,,31.8,97.4,46.08,,,7.58,,2.6
Karnataka,2018,2018,20.91,28.1,84.26,19.9,8.45,,,,
Karnataka,2020–21,2021,20.91,28.1,86.33674621658953,92.35,,,17.3,2.0,
Karnataka,2019,2019,20.91,28.1,85.52985300778462,19.9,,2.0,,,
Kerala,2023–24,2024,,57.8,100.0,50.4,,,0.55,,0.3
Kerala,2018,2018,7.05,47.7,87.98,20.4,3.4,,,,
Kerala,2020–21,2021,7.05,47.7,88.84764354570059,97.75,,,1.1,0.3,
Kerala,2019,2019,7.05,47.7,89.32863868669823,20.4,,0.3,,,
Ladakh,2020–21,2021,10.35,4.2,97.75,96.69,,,15.2,4.3,
Ladakh,2023–24,2024,,17.1,99.92,124.21,,,3.53,,
Lakshadweep,2018,2018,2.77,3.4,56.13,17.5,0.0,,,,
Lakshadweep,2023–24,2024,,67.7,100.0,63.71,,,1.11,,
Lakshadweep,2020–21,2021,2.77,2.9,91.85185185185183,26.41,,,1.8,0.0,
Lakshadweep,2019,2019,2.77,2.9,91.19718309859157,17.5,,0.0,,,
Madhya Pradesh,2019,2019,31.65,17.7,78.06215799073945,61.1,,4.5,,,
Madhya Pradesh,2023–24,2024,,38.1,99.55,61.44,,,20.63,,7.2
Madhya Pradesh,2018,2018,31.65,17.7,79.68,61.1,21.42,,,,
Madhya Pradesh,2020–21,2021,31.65,17.7,79.27065901025806,95.86,,,41.09999999999999,4.5,
Maharashtra,2019,2019,17.35,15.0,86.10420075488598,8.7,,2.0,,,
Maharashtra,2020–21,2021,17.35,15.0,84.28964809425567,92.98,,,17.3,2.0,
Maharashtra,2023–24,2024,,22.4,99.76,27.91,,,7.81,,1.7
Maharashtra,2018,2018,17.35,15.0,86.4,8.7,17.18,,,,
Manipur,2019,2019,36.89,3.6,95.45129725052844,26.2,,2.5,,,
Manipur,2020–21,2021,36.89,3.6,97.0628271562722,87.84,,,21.0,2.5,
Manipur,2018,2018,36.89,3.6,96.46,26.2,2.95,,,,
Manipur,2023–24,2024,,16.4,99.92,62.4,,,8.1,,1.5
Meghalaya,2020–21,2021,11.87,34.59999999999999,97.95301089453548,96.61,,,32.8,2.3,
Meghalaya,2018,2018,11.87,34.6,97.3,28.0,4.24,,,,
Meghalaya,2019,2019,11.87,34.59999999999999,97.85251425609124,28.0,,2.3,,,
Meghalaya,2023–24,2024,,69.0,99.97,35.68,,,27.79,,4.6
Mizoram,2019,2019,20.4,45.8,99.92161348050936,47.5,,6.0,,,
Mizoram,2018,2018,20.4,45.4,99.94,47.5,0.62,,,,
Mizoram,2020–21,2021,20.4,45.8,99.92497658504884,93.45,,,9.8,6.0,
Mizoram,2023–24,2024,,50.3,99.99,37.31,,,5.3,,4.8
Nagaland,2018,2018,18.88,6.1,98.91,29.7,3.03,,,,
Nagaland,2023–24,2024,,22.0,99.62,36.2,,,15.43,,8.0
Nagaland,2019,2019,18.88,6.1,95.07545435678496,29.7,,0.7,,,
Nagaland,2020–21,2021,18.88,6.1,98.95996673380306,91.3,,,23.7,0.7,
Odisha,2018,2018,32.59,47.7,84.76,72.6,7.11,,,,
Odisha,2019,2019,32.59,47.7,85.79698139490837,72.6,,14.2,,,
