STATEs/UTs,year,yearFormatted,Palma Ratio of Household Expenditure in Urban India,Palma Ratio of Household Expenditure in Rural India,Ratio of Transgender Labour force participation rate to Male Labour force participation rate,Scheduled Caste Sub Plan fund utilised (%),Tribal Sub Plan fund utilised (%),Growth rates of household expenditure  per capita among the bottom 40 per cent of the population in rural India,Growth rates of household expenditure  per capita among the bottom 40 per cent of the population in urban India,Gini Coefficient of Household Expenditure in Rural India,Gini Coefficient of Household Expenditure in Urban India,Percentage of seats held by women in Panchayat Raj Institutions (PRIs),Proportion of SC/ST persons in state legislative assemblies,Ratio of transgender  to male Labour Force Participation Rate (LFPR),Percentage of population in the lowest two wealth quintiles *,Percentage of elected women over total seats in the State/UT (Lok Sabha elections),Percentage of SC/ST seats in State Legislative Assemblies*,"Rate of total crimes against SCs (per 1,00,000 SC population)","Rate of total crime against STs (per 1,00,000 ST population)",Gini coefficient,Ratio (in percent) of female workers to male workers working as Professionals and Technical Workers
Gujarat,2023-24,2024,,,,,,,,,,49.96390894,,,,,21.97802198,31.4,3.7,0.19,50.7
Gujarat,2019,2019,,,,82.7489847994813,89.03808418317995,16.56,23.83,0.248,0.284,32.9,21.97802197802198,0.3861256544502618,,,,,,,
Haryana,2020-21,2021,,,,,,,,,,42.12,,0.67,9.7,10.0,18.88888888888889,21.2,,,
Haryana,2023-24,2024,,,,,,,,,,42.12036839,,,,,18.88888889,31.9,,0.12,61.1
Haryana,2018,2018,1.77,0.84,0.67,63.49,,,,,,,,,,,,,,,
Haryana,2019,2019,,,,63.49204251044256,,25.63,23.15,0.261,0.41,36.5,18.88888888888889,0.6671388101983002,,,,,,,
Himachal Pradesh,2019,2019,,,,94.07411792564528,97.90785907859076,8.94,34.41,0.282,0.29,50.11,29.41176470588236,1.226832641770401,,,,,,,
Himachal Pradesh,2018,2018,0.92,0.92,1.23,94.07,97.91,,,,,,,,,,,,,,
Himachal Pradesh,2020-21,2021,,,,,,,,,,50.13,,1.23,11.7,0.0,29.41176470588236,10.9,0.3,,
Himachal Pradesh,2023-24,2024,,,,,,,,,,50.12707586,,,,,29.41176471,12.1,1.0,0.14,70.5
India,2023-24,2024,,,,,,,,,,45.60980451,,,,,28.57142857,28.6,9.6,0.2,50.4
India,2019,2019,,,,77.67,82.98,13.61,13.35,0.283,0.363,46.14,28.3252427184466,0.64,,,,,,,
India,2020-21,2021,,,,,,,,,,45.62,,0.64,40.0,14.39,28.35,22.8,7.9,,
India,2018,2018,1.41,0.92,0.64,77.67,82.98,,,,,,,,,,,,,,
Jammu and Kashmir,2019,2019,,,,,,7.27,11.82,0.235,0.301,33.56,8.045977011494253,0.2545731707317073,,,,,,,
Jammu and Kashmir,2020-21,2021,,,,,,,,,,33.18,,0.25,26.4,0.0,8.045977011494253,0.2,0.0,,
Jammu and Kashmir,2023-24,2024,,,,,,,,,,33.18444166,,,,,17.77777778,1.2,0.1,0.19,57.0
Jammu and Kashmir,2018,2018,1.05,0.75,0.25,,,,,,,,,,,,,,,,
Jharkhand,2019,2019,,,,55.67589930728676,60.21487739834328,6.71,17.19,0.206,0.312,59.18,45.67901234567901,0.8604651162790697,,,,,,,
Jharkhand,2018,2018,1.03,0.65,0.86,55.68,60.21,,,,,,,,,,,,,,
Jharkhand,2023-24,2024,,,,,,,,,,51.5728227,,,,,45.67901235,16.9,3.3,0.27,34.2
Jharkhand,2020-21,2021,,,,,,,,,,51.57,,0.86,68.0,14.29,45.67901234567901,16.3,4.0,,
Karnataka,2023-24,2024,,,,,,,,,,50.05198423,,,,,22.76785714,18.9,10.3,0.16,55.6
Karnataka,2018,2018,1.83,0.84,0.59,90.2,105.35,,,,,,,,,,,,,,
Karnataka,2020-21,2021,,,,,,,,,,50.05,,0.59,27.3,7.14,22.86995515695067,14.4,7.7,,
Karnataka,2019,2019,,,,90.20292313715257,105.3526988576039,29.18,6.8,0.259,0.403,53.4,22.76785714285714,0.5917312661498708,,,,,,,
Kerala,2023-24,2024,,,,,,,,,,52.4167211,,,,,11.42857143,34.5,35.5,0.1,101.6
Kerala,2018,2018,1.72,1.18,0.99,107.45,100.0,,,,,,,,,,,,,,
Kerala,2020-21,2021,,,,,,,,,,52.42,,0.99,3.2,5.0,11.42857142857143,28.2,28.9,,
Kerala,2019,2019,,,,107.4455837380824,100.0,15.11,16.28,0.363,0.414,51.85,11.42857142857143,0.9859943977591036,,,,,,,
Ladakh,2020-21,2021,,,,,,,,,,33.18,,0.25,26.4,0.0,8.045977011494253,0.2,0.0,,
Ladakh,2023-24,2024,,,,,,,,,,31.00541842,,,,,,0.0,0.0,0.23,50.2
Lakshadweep,2018,2018,1.0,0.74,,,,,,,,,,,,,,,,,
Lakshadweep,2023-24,2024,,,,,,,,,,37.27272727,,,,,,,0.0,0.11,44.6
Lakshadweep,2020-21,2021,,,,,,,,,,37.27,,,1.2,0.0,,,0.0,,
Lakshadweep,2019,2019,,,,,,43.92,7.1,,,,,,,,,,,,
Madhya Pradesh,2019,2019,,,,89.00081649316186,92.16838235294117,12.0,8.38,0.267,0.362,50.0,35.65217391304348,0.5561797752808989,,,,,,,
Madhya Pradesh,2023-24,2024,,,,,,,,,,49.99987277,,,,,35.65217391,68.2,19.4,0.22,43.9
Madhya Pradesh,2018,2018,1.41,0.86,0.56,89.0,92.17,,,,,,,,,,,,,,
Madhya Pradesh,2020-21,2021,,,,,,,,,,50.0,,0.56,54.7,13.79,35.65217391304348,46.7,12.5,,
Maharashtra,2019,2019,,,,76.0248755422516,91.26105382893628,17.94,21.8,0.253,0.35,49.93,18.75,0.65406162464986,,,,,,,
Maharashtra,2020-21,2021,,,,,,,,,,53.47,,0.65,26.6,16.67,18.75,16.2,5.3,,
Maharashtra,2023-24,2024,,,,,,,,,,53.47393355,,,,,18.75,20.7,7.1,0.17,42.8
Maharashtra,2018,2018,1.28,0.78,0.65,76.02,91.26,,,,,,,,,,,,,,
Manipur,2019,2019,,,,102.922920663582,93.05301246839306,12.48,10.65,0.211,0.209,48.65,33.33333333333333,,,,,,,,
Manipur,2020-21,2021,,,,,,,,,,50.69,,,41.1,0.0,33.33333333333333,0.0,0.2,,
Manipur,2018,2018,0.68,0.7,,102.92,93.05,,,,,,,,,,,,,,
Manipur,2023-24,2024,,,,,,,,,,50.69124424,,,,,33.33333333,0.0,0.1,0.17,69.6
Meghalaya,2020-21,2021,,,,,,,,,,,,1.33,46.9,50.0,91.66666666666666,0.0,0.0,,
Meghalaya,2018,2018,0.71,0.61,1.33,,,,,,,,,,,,,,,,
Meghalaya,2019,2019,,,,,,10.15,31.17,0.19,0.226,,91.66666666666666,1.328,,,,,,,
Meghalaya,2023-24,2024,,,,,,,,,,,,,,,91.66666667,0.0,0.0,0.25,169.8
Mizoram,2019,2019,,,,,,1.24,9.55,0.24,0.233,,97.5,1.351351351351351,,,,,,,
Mizoram,2018,2018,0.71,0.79,1.35,,,,,,,,,,,,,,,,
Mizoram,2020-21,2021,,,,,,,,,,23.64,,1.35,17.0,0.0,97.5,0.0,0.8,,
Mizoram,2023-24,2024,,,,,,,,,,,,,,,97.5,410.5,2.8,0.13,47.4
Nagaland,2018,2018,0.78,0.66,0.44,,,,,,,,,,,,,,,,
Nagaland,2023-24,2024,,,,,,,,,,,,,,,98.33333333,,0.0,0.21,58.5
Nagaland,2019,2019,,,,,,15.81,3.5,0.192,0.232,,98.33333333333331,0.4442877291960508,,,,,,,
Nagaland,2020-21,2021,,,,,,,,,,,,0.44,42.9,0.0,98.33333333333331,,0.0,,
Odisha,2018,2018,1.44,0.76,0.74,87.86,90.74,,,,,,,,,,,,,,
Odisha,2019,2019,,,,87.8553592851114,90.7377257740507,9.87,4.23,0.232,0.359,49.31,38.77551020408163,0.7352185089974294,,,,,,,
Odisha,2023-24,2024,,,,,,,,,,52.68264999,,,,,38.7755102,40.4,8.1,0.23,55.6
Odisha,2020-21,2021,,,,,,,,,,52.68,,0.74,63.8,33.33,39.04109589041096,26.2,6.0,,
Puducherry,2019,2019,,,,88.283534647171,,12.55,14.62,,,,16.66666666666666,,,,,,,,
Puducherry,2023-24,2024,,,,,,,,,,,,,,,16.66666667,4.6,,0.12,89.5
Puducherry,2020-21,2021,,,,,,,,,,,,,12.7,0.0,16.66666666666666,2.0,,,
Puducherry,2018,2018,0.92,0.63,,88.28,,,,,,,,,,,,,,,
Punjab,2019,2019,,,,72.46145084512642,,23.13,19.52,0.277,0.31,34.58,29.05982905982906,0.2002801120448179,,,,,,,
Punjab,2023-24,2024,,,,,,,,,,41.79161018,,,,,29.05982906,1.8,,0.1,60.0
Punjab,2020-21,2021,,,,,,,,,,41.79,,0.2,5.2,15.38,29.05982905982906,1.9,,,
Punjab,2018,2018,1.23,0.91,0.2,72.46,,,,,,,,,,,,,,,
Rajasthan,2020-21,2021,,,,,,,,,,51.32,,0.36,41.7,12.0,29.5,55.6,19.5,,
Rajasthan,2023-24,2024,,,,,,,,,,51.31978047,,,,,29.5,71.6,27.3,0.18,32.2
Rajasthan,2018,2018,1.15,0.74,0.36,95.87,92.61,,,,,,,,,,,,,,
Rajasthan,2019,2019,,,,95.8747029164168,92.60888820425926,12.51,24.78,0.248,0.32,58.29,29.5,0.3638814016172507,,,,,,,
Sikkim,2018,2018,0.76,0.65,0.07,,,,,,,,,,,,,,,,
Sikkim,2023-24,2024,,,,,,,,,,50.30355594,,,,,43.75,10.6,1.9,0.14,71.9
Sikkim,2019,2019,,,,,,14.97,4.36,0.197,,49.95,43.75,0.0728218465539661,,,,,,,
Sikkim,2020-21,2021,,,,,,,,,,50.3,,0.07,7.6,0.0,43.75,14.1,1.0,,
Tamil Nadu,2018,2018,1.24,0.94,0.74,99.38,89.84,,,,,,,,,,,,,,
Tamil Nadu,2023-24,2024,,,,,,,,,,52.98919681,,,,,19.65811966,12.2,8.4,0.1,59.0
Tamil Nadu,2019,2019,,,,99.38197137889529,89.84432458936013,18.3,14.27,0.277,0.326,33.48,19.65811965811966,0.7420634920634921,,,,,,,
Tamil Nadu,2020-21,2021,,,,,,,,,,52.99,,0.74,19.9,7.89,19.65811965811966,7.9,3.9,,
Target,2018,2018,1.0,1.0,1.0,100.0,100.0,,,,,,,,,,,,,,
Target,2023-24,2024,,,,,,,,,,33.0,,,,,,0.0,0.0,0.0,100.0
Target,2019,2019,,,,100.0,100.0,15.59,11.27,0.0,0.0,50.0,,1.0,,,,,,,
Target,2020-21,2021,,,,,,,,,,33.0,,1.0,4.67,50.0,,0.0,0.0,,
Telangana,2023-24,2024,,,,,,,,,,50.34986663,,,,,26.05042017,32.9,16.6,0.1,41.8
Telangana,2018,2018,,,1.06,,,,,,,,,,,,,,,,
Telangana,2020-21,2021,,,,,,,,,,50.35,,1.06,26.0,5.88,26.05042016806723,31.1,16.1,,
Telangana,2019,2019,,,,,,27.32,16.3,,,45.14,26.05042016806723,1.058823529411765,,,,,,,
Tripura,2023-24,2024,,,,,,,,,,45.23021366,,,,,50.0,0.3,0.3,0.2,72.0
Tripura,2018,2018,0.94,0.73,,,77.64,,,,,,,,,,,,,,
Tripura,2019,2019,,,,,77.64118449840782,-6.31,-0.61,0.219,0.297,35.93,50.0,,,,,,,,
Tripura,2020-21,2021,,,,,,,,,,45.23,,,55.7,50.0,50.0,0.0,0.2,,
Uttar Pradesh,2019,2019,,,,52.10926982608398,45.03614457831326,6.37,8.12,0.247,0.312,41.36,21.33995037220843,0.4214765100671141,,,,,,,
Uttar Pradesh,2018,2018,1.83,0.79,0.42,52.11,45.04,,,,,,,,,,,,,,
Uttar Pradesh,2020-21,2021,,,,,,,,,,33.34,,0.42,54.1,13.75,21.28712871287129,28.6,63.6,,
Uttar Pradesh,2023-24,2024,,,,,,,,,,33.34052246,,,,,21.33995037,37.2,0.4,0.21,40.7
Uttarakhand,2019,2019,,,,40.1895424836601,69.49019607843137,16.56,14.35,0.249,0.391,57.83,21.42857142857143,0.649645390070922,,,,,,,
Uttarakhand,2018,2018,1.18,0.8,0.65,40.19,69.49,,,,,,,,,,,,,,
Uttarakhand,2020-21,2021,,,,,,,,,,56.02,,0.65,23.1,20.0,21.42857142857143,4.4,2.7,,
Uttarakhand,2023-24,2024,,,,,,,,,,56.01789923,,,,,21.42857143,6.0,0.3,0.17,35.9
West Bengal,2023-24,2024,,,,,,,,,,51.42413345,,,,,28.57142857,0.5,1.7,0.25,63.2
West Bengal,2020-21,2021,,,,,,,,,,51.42,,0.48,53.5,26.19,28.57142857142857,0.6,1.9,,
West Bengal,2019,2019,,,,100.0,100.0,13.2,12.05,0.239,0.372,49.88,28.57142857142857,0.4789603960396039,,,,,,,
West Bengal,2018,2018,1.53,0.77,0.48,100.0,100.0,,,,,,,,,,,,,,
