STATEs/UTs,year,yearFormatted,"Maternal Mortality Ratio (per 1,00,000 live births)","Under-five Mortality Rate (per 1,000 live births)","Children aged 12-23 months fully immunized (BCG, Measles and three doses of Pentavalent vaccine) (%)","Total case notification rate of Tuberculosis per 1,00,000 population","Number of governmental physicians, nurses and midwives per 1,00,000 population",Percentage of institutional deliveries out of the total deliveries reported,Percentage of fully immunised children in the age group 0-5 years,"HIV incidence per 1,000 uninfected population",Percentage of currently married women aged 15-49 years who have their demand for family planning satisfied by any modern method,"Health worker density per 10,000 population","Under 5 mortality rate (per 1,000 live births)",Percentage of children in the age group 9-11 months fully immunized,"Suicide rate (per 1,00,000 population)","Death rate due to road traffic accidents (per 1,00,000 population)",Monthly per capita out-of-pocket expenditure on health as a share of Monthly Per capita Consumption Expenditure (MPCE),Tuberculosis case notification against target in percentage,Life expectancy
Andaman and Nicobar Islands,2019,2019,,13.0,,144.0,,56.5,63.2,0.15,48.0,,,,,,,,
Andaman and Nicobar Islands,2018,2018,,13.0,73.2,76.0,16.43,,,,,,,,,,,,
Andaman and Nicobar Islands,2023-24,2024,,,,,,99.34,,0.04,72.8,0.0,,79.79,42.8,4.73,7.0,100.75,
Andaman and Nicobar Islands,2020-21,2021,,,,151.0,,98.2,,0.05,,,,66.0,45.5,5.025125628140704,7.0,,
Andhra Pradesh,2020-21,2021,65.0,,,189.0,,99.6,,0.05,,95.1438675143481,33.0,87.0,12.4,15.2613973047883,13.5,,
Andhra Pradesh,2023-24,2024,45.0,27.0,,,,99.98,,0.1,93.5,107.96,,101.26,16.8,15.64,13.5,80.16,70.6
Andhra Pradesh,2019,2019,74.0,40.8,,176.0,,66.9,73.6,0.13,69.4,92.16600213399224,,,,,,,
Andhra Pradesh,2018,2018,74.0,41.0,65.3,161.0,405.49,,,,,,,,,,,,
Arunachal Pradesh,2019,2019,,32.9,,216.0,,45.3,41.3,0.05,26.6,24.0844009042954,,,,,,,
Arunachal Pradesh,2018,2018,,33.0,38.2,203.0,126.81,,,,,,,,,,,,
Arunachal Pradesh,2020-21,2021,,,,182.0,,89.6,,0.05,,21.62381596752368,,68.0,7.4,7.232913072329131,17.0,,
Arunachal Pradesh,2023-24,2024,,,,,,93.9,,0.11,65.9,70.52,,79.41,9.6,9.8,17.0,81.8,
Assam,2020-21,2021,215.0,,,141.0,,91.1,,0.04,,22.57158132351194,47.0,85.0,6.9,9.428206171189494,12.9,,
Assam,2023-24,2024,195.0,40.0,,,,95.91,,0.08,63.2,27.55,,85.4,9.4,8.62,12.9,78.4,67.9
Assam,2019,2019,229.0,56.5,,126.0,,53.0,46.1,0.04,37.0,23.16184090216397,,,,,,,
Assam,2018,2018,237.0,57.0,47.1,119.0,146.38,,,,,,,,,,,,
Bihar,2018,2018,165.0,58.0,61.7,82.0,19.74,,,,,,,,,,,,
Bihar,2019,2019,165.0,58.1,,87.0,,42.5,48.1,0.08,23.2,18.62360085281352,,,,,,,
Bihar,2023-24,2024,118.0,30.0,,,,89.73,,0.07,64.0,14.47,,83.54,0.6,7.09,14.5,80.58,69.5
Bihar,2020-21,2021,149.0,,,100.0,,84.8,,0.07,,16.78810134619179,37.0,94.0,0.5,5.998468121950813,14.5,,
Chandigarh,2023-24,2024,,,,,,99.96,,0.06,65.9,49.69,,96.97,10.7,6.79,9.5,84.25,
Chandigarh,2019,2019,,38.3,,496.0,,111.4,64.9,0.18,58.2,0.8875739644970414,,,,,,,
Chandigarh,2020-21,2021,,,,606.0,,99.9,,0.08,,1.428571428571429,,77.0,11.1,8.783783783783784,9.5,,
Chandigarh,2018,2018,,,79.5,523.0,10.45,,,,,,,,,,,,
Chhattisgarh,2023-24,2024,137.0,41.0,,,,99.52,,0.05,81.1,26.03,,96.54,28.2,19.67,6.6,70.04,65.1
Chhattisgarh,2019,2019,141.0,64.3,,148.0,,55.6,65.2,0.06,54.5,15.78438860459788,,,,,,,
Chhattisgarh,2018,2018,173.0,64.0,76.4,145.0,83.98,,,,,,,,,,,,
Chhattisgarh,2020-21,2021,159.0,,,148.0,,98.3,,0.1,,14.7176328158382,45.0,95.0,26.4,17.34021904893942,6.6,,
Dadra and Nagar Haveli,2019,2019,,42.2,,192.0,,62.3,62.0,0.14,37.9,,,,,,,,
Dadra and Nagar Haveli,2018,2018,,42.0,43.2,225.0,30.28,,,,,,,,,,,,
Dadra and Nagar Haveli,2020-21,2021,,,,205.0,,99.6,,0.17,,,,75.0,17.1,8.812949640287771,6.0,,
Dadra and Nagar Haveli and Daman and Diu,2023-24,2024,,,,,,99.97,,0.08,74.8,4.79,,48.03,17.1,6.66,5.62,127.18,
Daman and Diu,2019,2019,,34.4,,159.0,,37.8,45.3,0.13,31.6,,,,,,,,
Daman and Diu,2018,2018,,34.0,66.3,151.0,21.85,,,,,,,,,,,,
Daman and Diu,2020-21,2021,,,,173.0,,100.0,,0.07,,,,66.0,10.9,6.855791962174941,5.1,,
Delhi,2019,2019,,42.2,,505.0,,63.9,47.8,0.16,48.6,44.15829375228353,,,,,,,
Delhi,2020-21,2021,,,,575.0,,96.0,,0.15,,50.40610989469294,19.0,92.0,12.7,7.562688064192578,9.2,,
Delhi,2018,2018,,47.0,66.4,360.0,343.82,,,,,,,,,,,,
Delhi,2023-24,2024,,14.0,,,,98.11,,0.14,69.9,79.04,,105.03,16.2,6.93,9.2,106.73,75.8
Goa,2018,2018,,13.0,88.4,128.0,42.32,,,,,,,,,,,,
Goa,2023-24,2024,,,,,,99.96,,0.07,78.7,71.57,,91.26,19.2,17.46,9.0,87.13,
Goa,2019,2019,,12.9,,164.0,,61.9,59.7,0.13,24.8,24.85912011863569,,,,,,,
Goa,2020-21,2021,,,,157.0,,99.9,,0.03,,32.998687664042,,94.0,16.8,19.37783538561244,9.0,,
Gujarat,2020-21,2021,75.0,,,232.0,,99.5,,0.05,,41.19425240612715,31.0,87.0,11.2,10.88431386914792,9.5,,
Gujarat,2018,2018,91.0,43.0,50.4,224.0,228.86,,,,,,,,,,,,
Gujarat,2023-24,2024,57.0,24.0,,,,99.94,,0.03,70.9,55.56,,95.95,12.7,10.76,9.5,101.27,70.5
Gujarat,2019,2019,87.0,43.5,,228.0,,66.0,59.6,0.07,43.1,43.04932947176226,,,,,,,
