STATEs/UTs,year,yearFormatted,Houses completed under PMAY as a percentage of net demand assessment for houses,Percentage of urban households living in slums,Percentage of wards with 100% door to door waste collection (SBM(U)),Percentage of waste processed,Installed sewage treatment capacity as a percentage of sewage generated in urban areas,Percentage of urban households living in kachha houses,"Deaths due to road accidents in urban areas (per 1,00,000 population)",Percentage of individual household toilets constructed against target SBM (U),Percentage of Municipal Solid Waste (MSW) processed to the total MSW generated (SBM(U)),Percentage of wards with 100% source segregation (SBM(U)),Percentage of urban households with drainage facility
Andaman and Nicobar Islands,2019,2019,3.267973856209151,3.72,100.0,65.0,0.0,,,,,,
Andaman and Nicobar Islands,2018,2018,,3.72,100.0,23.0,,,,,,,
Andaman and Nicobar Islands,2023-24,2024,,,100.0,,0.0,,2.840909091,100.0,88.70967742,100.0,
Andaman and Nicobar Islands,2020-21,2021,,,100.0,,,0.0,4.166666666666667,100.0,95.55555555555556,100.0,88.4
Andhra Pradesh,2020-21,2021,,,100.0,,,0.7,16.11374407582938,126.0,63.67041198501872,96.80258140217072,89.69999999999999
Andhra Pradesh,2023-24,2024,,,98.68454991,,29.59750173,0.2,10.93627477,126.0244228,83.94569869,96.02785659,
Andhra Pradesh,2019,2019,24.88997370904355,12.04,100.0,48.0,0.0861267850923023,,,,,,
Andhra Pradesh,2018,2018,2.48,12.04,95.83,7.0,8.61,,,,,,
Arunachal Pradesh,2019,2019,26.15751789976133,1.12,100.0,0.0,0.0,,,,,,
Arunachal Pradesh,2018,2018,0.17,1.12,84.0,0.0,,,,,,,
Arunachal Pradesh,2020-21,2021,,,82.43243243243244,,,8.9,11.76470588235294,80.0,23.97476340694006,48.64864864864865,59.4
Arunachal Pradesh,2023-24,2024,,,97.40518962,,0.0,10.4,20.75949367,94.69474372,7.432432432,73.45309381,
Assam,2020-21,2021,,,87.91092258748674,,,0.4,24.70203767781623,97.0,63.24472960586618,42.73594909862143,58.7
Assam,2023-24,2024,,,96.60377358,,0.0,0.8,27.72115035,104.0240359,46.7110741,52.16981132,
Assam,2019,2019,18.92259556522922,0.63,62.20556745182013,41.0,0.0002987197724039,,,,,,
Assam,2018,2018,0.26,0.63,23.98,10.0,0.03,,,,,,
Bihar,2018,2018,0.48,1.19,77.46,3.0,6.63,,,,,,
Bihar,2019,2019,21.42495965972888,1.19,87.94788273615634,51.0,0.0662852581160191,,,,,,
Bihar,2023-24,2024,,,80.07716591,,27.72407733,4.3,20.36095908,105.5719577,25.24936728,71.08032269,
Bihar,2020-21,2021,,,99.43737044714244,,,1.1,21.62950614711398,103.0,58.27464788732394,52.79834172342316,87.8
Chandigarh,2023-24,2024,,,100.0,,155.8510638,,6.792144026,142.8538066,100.0,100.0,
Chandigarh,2019,2019,2068.253968253968,9.01,100.0,89.0,1.917682926829268,,,,,,
Chandigarh,2020-21,2021,,,100.0,,,0.0,8.31918505942275,143.0,91.90871369294604,96.15384615384616,98.9
Chandigarh,2018,2018,0.6,9.01,100.0,33.0,191.77,,,,,,
Chhattisgarh,2023-24,2024,,,100.0,,6.068162926,3.0,16.66459859,108.8116667,99.95991984,100.0,
Chhattisgarh,2019,2019,24.38951959137267,7.43,100.0,84.0,0.0,,,,,,
Chhattisgarh,2018,2018,1.98,7.43,100.0,74.0,,,,,,,
Chhattisgarh,2020-21,2021,,,100.0,,,0.7,18.16724552497996,108.0,92.96969696969695,100.0,76.9
Dadra and Nagar Haveli,2019,2019,40.8725851964402,,100.0,25.0,0.0,,,,,,
Dadra and Nagar Haveli,2018,2018,17.48,,0.0,0.0,,,,,,,
Dadra and Nagar Haveli,2020-21,2021,,,100.0,,,0.0,2.22841225626741,98.0,100.0,100.0,82.1
Dadra and Nagar Haveli and Daman and Diu,2023-24,2024,,,100.0,,35.82089552,,2.380952381,126.6240682,100.0,100.0,
Daman and Diu,2019,2019,42.62990455991517,,100.0,75.0,0.0,,,,,,
Daman and Diu,2018,2018,10.51,,100.0,38.0,,,,,,,
